StockCode,Quantite_Totale,CA_Total,Nb_Lignes_Commandes,Nb_Clients_Uniques
22042,372,156.24,26,24
22043,1188,283.32,43,40
22044,816,196.44,36,35
22045,6502,2662.84,207,148
22046,2250,929.0,75,62
22047,3400,1384.0,107,93
22048,975,393.5,32,32
22049,1025,275.25,32,26
22050,1225,498.5,40,37
22051,1000,420.0,40,36
22052,571,239.82,23,22
22053,4236,3596.4199999999996,26,23
22055,1248,1665.08,148,102
22057,578,648.18,56,46
22059,1749,1973.1699999999998,153,85
22060,233,1118.95,37,31
22061,565,3864.63,130,86
22062,559,603.89,61,43
22063,544,1127.2,89,56
22064,1608,2142.6,173,85
22065,6440,2892.02,179,132
22066,2248,1035.3799999999999,140,99
22067,389,569.13,51,32
22068,437,509.36999999999995,85,56
22069,220,240.77999999999997,39,26
22070,874,2034.43,86,62
22071,711,1298.79,75,64
22072,813,2539.19,148,90
22073,300,1074.6,49,38
22074,1001,774.5899999999999,77,61
22075,1565,2019.2299999999998,125,96
22076,1035,1304.37,114,96
22077,8605,14988.589999999998,751,413
22078,1300,2610.0,152,105
22079,1715,2831.9900000000002,233,190
22080,1182,1902.3,131,116
22081,595,994.87,91,74
22082,2558,4208.78,352,250
22083,4307,12043.210000000001,448,294
22084,4893,13435.150000000001,383,277
22085,507,1415.65,74,62
22086,15617,42660.83,1019,613
22087,3779,10264.050000000001,265,155
22088,1698,4683.1,171,115
22089,1190,3398.5000000000005,183,142
22090,6879,18791.890000000003,573,325
22091,1945,922.7900000000001,135,97
22092,668,312.34000000000003,90,75
22093,1828,806.76,160,114
22094,2087,933.24,154,117
22095,1578,1432.04,114,72
22096,1364,564.48,118,89
22097,1591,692.73,152,103
22098,1957,911.72,151,98
22099,1405,707.63,133,96
22100,729,305.81,40,34
22101,837,631.62,24,21
22102,1533,715.05,18,13
22103,1165,714.09,17,12
22104,151,120.07,12,9
22105,506,566.5,10,9
22106,286,584.9,12,9
22107,293,967.48,74,44
22108,101,246.53,28,16
22109,1383,4993.05,163,100
22110,618,1564.61,163,116
22111,4259,20104.350000000002,671,425
22112,5160,23624.24,714,382
22113,3156,12191.15,540,337
22114,3736,15415.22,520,325
22115,1495,1706.8100000000002,185,152
22116,505,493.39000000000004,90,65
22117,1290,3802.5,72,58
22118,219,748.83,80,67
22119,348,1731.3600000000001,110,82
22120,505,4856.5199999999995,170,121
22121,333,1930.89,116,94
22123,443,794.39,74,59
22124,79,130.37,24,14
22125,4,23.8,1,1
22127,402,479.7,21,20
22128,1729,2042.69,72,62
22129,992,790.56,37,33
22130,1505,1260.53,91,78
22131,1890,3370.42,190,115
22132,935,772.91,83,60
22133,702,585.78,60,41
22134,637,255.18,57,29
22135,262,114.96,49,22
22136,334,531.9,53,37
22137,68,191.0,11,9
22138,4797,23007.55,867,581
22139,4248,20470.780000000002,833,488
22141,2448,5025.580000000001,360,256
22142,3073,4339.29,333,259
22144,3468,7128.1,437,319
22145,30,63.0,1,1
22146,1,1.95,1,1
22147,6127,8314.55,453,287
22148,1819,3367.0499999999997,165,148
22149,5890,11566.390000000001,473,337
22150,2923,5478.05,413,288
22151,14877,5922.2699999999995,297,174
22152,2351,967.55,98,70
22153,2459,1012.62,93,61
22154,3532,1457.52,118,87
22155,2203,925.26,94,67
22156,1875,1588.1599999999999,159,106
22157,212,180.2,11,11
22158,2895,8161.21,270,196
22161,4143,857.33,175,118
22162,106,312.7,28,21
22163,626,580.94,51,41
22164,71,209.45000000000005,12,11
22165,267,1490.65,38,27
22166,122,489.9000000000001,16,13
22167,121,1059.95,59,41
22168,139,1171.3,75,69
22169,1075,8416.64,287,165
22170,1023,6378.150000000001,225,142
22171,1723,12294.380000000001,308,172
22173,2151,6273.29,342,210
22174,2688,4032.5599999999995,178,104
22175,841,2384.9500000000003,141,84
22176,489,1423.3500000000001,101,62
22178,22433,28776.51,825,403
22179,796,5110.74,182,98
22180,303,2962.6499999999996,132,92
22181,577,477.96999999999997,46,40
22182,206,723.7,38,30
22183,74,466.95000000000005,17,16
22184,8,68.0,4,3
22185,1428,2029.6999999999998,130,111
22186,801,1723.79,119,111
22187,1183,2562.27,147,123
22188,4844,12261.9,167,123
22189,8195,22715.57,459,274
22190,566,785.13,52,38
22191,1426,11587.2,401,239
22192,907,7528.93,338,179
22193,1352,11074.390000000001,419,206
22194,53,450.5,33,24
22195,1699,2841.87,228,148
22196,2385,2013.7299999999998,259,146
22197,49183,37226.43,1068,407
22198,873,1370.4499999999998,53,42
22199,384,1328.5,99,71
22200,326,1209.54,77,51
22201,108,366.0,40,29
22202,39,146.25,17,16
22203,310,996.13,91,75
22204,96,302.5,31,23
22207,1200,4731.36,114,68
22208,1289,1234.1,210,148
22209,825,802.8199999999999,126,100
22210,914,822.5699999999999,150,117
22211,783,808.3799999999999,132,101
22212,1422,2917.4700000000003,264,145
22214,114,246.7,21,18
22215,330,2254.5,89,71
22216,327,182.31,20,17
22217,765,647.51,65,63
22218,1,4.25,1,1
22219,3372,2818.62,324,190
22220,214,1499.5,75,64
22221,124,964.4,44,37
22222,824,2599.2,149,104
22223,315,902.85,43,34
22224,688,1973.6000000000001,117,89
22227,1969,1276.8500000000001,182,83
22228,852,598.16,94,81
22229,495,334.27,64,54
22230,926,356.46,66,50
22231,869,823.17,111,93
22232,623,506.42999999999995,61,54
22233,541,515.29,81,70
22236,308,3624.5999999999995,88,67
22241,1788,2180.28,170,125
22242,631,964.3499999999999,27,23
22243,3055,4596.75,111,71
22244,1617,2915.5499999999997,97,66
22245,1199,966.11,58,44
22246,278,555.18,36,31
22247,485,408.09,61,54
22248,383,321.39,47,43
22249,645,544.09,86,73
22250,449,377.49,59,57
22251,520,645.44,75,66
22252,650,770.32,71,48
22254,594,706.02,41,33
22255,542,460.7,44,33
22256,262,327.5,39,32
22257,283,194.39,18,16
22258,722,543.9399999999999,36,35
22259,384,240.96,17,16
22260,410,351.62,50,37
22261,520,447.46,79,61
22262,924,788.52,97,62
22263,256,125.68,21,14
22264,1393,518.77,44,38
22265,514,334.1,55,42
22266,1861,563.35,86,69
22267,828,654.7,77,67
22268,1838,666.4399999999999,101,73
22269,841,521.73,89,62
22270,211,773.97,45,35
22271,1653,4716.870000000001,263,181
22272,194,553.1,47,43
22273,4469,11762.99,300,211
22274,1301,3732.15,238,168
22275,69,527.85,1,1
22276,253,645.15,62,53
22277,355,728.62,63,54
22278,244,1207.8000000000002,87,59
22279,480,578.41,51,43
22280,177,224.88,32,26
22281,109,648.5500000000001,44,35
22282,111,1425.27,64,39
22283,258,2058.94,118,82
22284,901,1486.6499999999999,104,78
22285,834,1376.1,94,74
22286,1051,867.2699999999999,82,64
22287,750,633.9599999999999,59,51
22288,453,566.25,44,37
22289,126,157.5,22,19
22291,1243,1802.35,97,72
22292,1088,1520.0,95,76
22293,821,1190.4499999999998,89,63
22294,5439,6671.07,261,162
22295,2737,4420.169999999999,221,155
22296,3055,4988.829999999999,284,189
22297,3863,4715.03,232,157
22299,1316,1231.34,42,38
22300,1450,3047.3399999999997,146,100
22301,2118,4529.34,185,123
22302,2288,4959.85,192,134
22303,2770,6124.15,231,155
22304,744,1268.06,48,38
22305,684,1559.44,44,35
22306,1138,1303.29,103,85
22307,729,835.61,62,53
22308,145,356.89,36,27
22309,293,709.38,66,48
22310,531,841.79,53,29
22311,1054,2925.5,100,61
22312,503,1454.9900000000002,98,61
22313,553,1482.89,56,41
22314,517,1434.0900000000001,96,58
22315,761,914.77,122,90
22316,638,706.3000000000001,42,28
22317,172,506.32000000000005,40,35
22318,396,1161.0000000000002,90,67
22319,1346,587.86,63,53
22320,183,1100.21,69,56
22321,760,646.0,58,45
22322,390,331.5,37,30
22323,1,1.95,1,1
22324,228,456.35999999999996,30,20
22325,153,755.2500000000001,59,49
22326,8100,22175.52,609,281
22327,832,2358.4,173,106
22328,6481,17604.99,471,227
22329,1387,2182.95,153,103
22331,1768,2750.96,143,101
22332,982,1562.6999999999998,131,92
22333,4391,6749.23,272,167
22334,684,1101.44,92,77
22335,2024,1250.2,133,88
22336,2283,668.09,53,47
22337,635,383.95000000000005,27,24
22338,4179,925.71,121,94
22339,2283,569.2900000000001,55,44
22340,993,430.22999999999996,63,53
22341,405,672.6499999999999,41,37
22342,833,769.65,52,49
22343,1705,744.91,64,48
22344,1049,373.31,47,34
22345,972,318.47999999999996,44,29
22346,885,309.69,34,23
22348,3863,3223.49,259,144
22349,1341,5227.929999999999,116,85
22350,1356,3586.3199999999997,89,63
22351,12,19.799999999999997,1,1
22352,2853,6717.79,331,185
22353,61,155.54999999999998,25,23
22354,700,2502.82,65,43
22355,8975,7138.65,599,249
22356,7306,5840.64,497,220
22357,324,1332.6,87,69
22358,456,1341.2800000000002,113,87
22359,162,480.74000000000007,63,47
22360,886,2455.9,150,102
22361,539,1513.2500000000002,126,92
22362,349,987.23,81,62
22363,454,1226.94,60,46
22364,519,1429.97,99,69
22365,730,4873.44,127,83
22366,722,4887.82,156,104
22367,3543,6572.49,457,298
22371,830,3489.88,254,144
22372,221,935.33,101,81
22374,448,1882.8400000000001,159,108
22375,253,1056.05,99,67
22376,193,820.69,85,66
22377,1038,1510.89,105,83
22378,1685,2092.56,105,69
22379,6088,11942.43,414,187
22380,1156,2274.75,200,114
22381,3169,6229.58,295,133
22382,9912,15881.199999999999,1008,490
22383,11722,18723.7,1083,434
22384,10254,16349.5,957,444
22385,8236,15331.02,487,247
22386,20165,37289.590000000004,890,372
22389,329,596.91,36,36
22390,261,410.71999999999997,31,24
22391,146,186.05999999999997,18,18
22393,487,617.38,50,43
22394,160,190.79999999999998,16,16
22395,134,130.26,15,15
22396,1182,572.8199999999999,112,87
22398,2545,1528.68,232,167
22399,1130,1309.9,87,71
22400,1393,714.6,152,112
22402,1705,1008.14,149,107
22403,1223,569.75,86,72
22405,347,351.19,56,46
22406,319,336.89,64,49
22407,94,98.07,24,17
22408,137,141.5,23,20
22409,216,270.0,45,36
22410,223,212.88,46,34
22411,10518,20174.23,803,375
22412,877,1784.7000000000003,117,73
22413,3690,10647.300000000001,358,228
22414,253,1645.67,70,37
22415,19,151.05,13,13
22416,850,1174.8999999999999,63,54
22417,8103,4131.6900000000005,420,270
22418,6267,5209.17,243,179
22419,2812,1236.1200000000001,166,94
22420,1199,500.33,87,55
22421,1925,795.2,123,80
22422,971,397.25,77,53
22423,12402,142592.94999999998,1723,881
22424,713,8519.0,328,189
22425,434,2086.11,141,110
22426,660,2231.8,146,104
22427,1995,11444.93,447,311
22428,221,1528.73,92,75
22429,1193,4954.29,325,227
22430,544,2646.6,166,131
22431,1981,3686.6499999999996,279,159
22432,1648,3100.58,240,158
22433,1341,2487.5299999999997,191,121
22434,779,1521.23,116,94
22435,2680,3257.04,221,153
22436,2110,1373.3,145,105
22437,2727,2263.35,176,140
22438,900,825.24,74,66
22439,1768,1176.8000000000002,163,116
22440,5897,2254.14,146,100
22441,994,2069.4,173,130
22442,292,1177.8,74,68
22443,153,1216.3500000000001,81,60
22444,763,935.51,34,29
22445,472,1368.2,100,72
22446,161,432.99,41,25
22447,75,223.95000000000002,16,16
22448,187,576.3100000000001,34,29
22449,365,1217.68,89,65
22450,184,614.0,54,41
22451,202,657.5000000000001,39,35
22452,388,1094.8000000000002,68,53
22453,334,951.7,47,38
22454,228,639.0,38,31
22456,1452,6833.200000000001,306,220
22457,8480,24245.52,980,587
22458,513,1371.4299999999998,14,12
22459,375,962.73,15,12
22460,2381,2871.84,164,118
22461,231,1251.25,45,35
22464,3200,4823.499999999999,285,191
22465,1965,2839.6299999999997,163,119
22466,2929,5071.95,152,114
22467,7688,17580.350000000002,586,262
22468,467,3032.39,116,82
22469,16775,28228.64,985,573
22470,9591,28520.95,819,485
22471,360,1097.68,65,53
22472,293,1234.0700000000002,82,58
22473,437,1239.39,79,58
22474,244,1009.0400000000001,83,70
22475,281,1225.95,112,49
22476,811,2150.77,79,61
22477,1290,1778.1,71,63
22478,1417,1936.85,77,59
22479,1078,1513.1,54,48
22480,613,729.77,68,57
22481,694,608.52,87,68
22482,448,523.52,48,40
22483,726,2041.7800000000002,134,91
22485,462,5652.9,165,142
22486,52,288.94,10,9
22487,724,6778.8099999999995,380,278
22488,2911,4636.91,312,211
22489,9314,3754.89,322,232
22491,3910,3130.8399999999997,203,162
22492,26076,16039.240000000002,325,213
22493,2354,3740.58,180,125
22494,890,1102.64,119,79
22495,242,515.1800000000001,66,60
22496,243,477.09000000000003,70,63
22497,178,756.5,60,50
22498,229,1362.5500000000002,97,68
22499,1734,9928.83,299,217
22500,240,840.2,90,78
22501,1194,10818.9,259,187
22502,1488,47366.2,239,175
22503,64,1279.2,16,15
22504,160,3012.4,39,31
22505,1365,6306.1900000000005,268,186
22507,2786,12411.02,348,230
22508,1516,5938.21,240,177
22509,205,1931.75,82,71
22510,210,404.62,42,34
22511,245,455.87,48,44
22512,118,236.0,33,28
22513,135,408.73,52,37
22514,261,539.1,76,61
22515,237,488.70000000000005,63,53
22516,171,350.1,44,35
22517,186,381.6,58,48
22518,333,663.3000000000001,57,44
22519,370,741.0000000000001,65,53
22520,705,599.25,107,88
22521,607,515.9499999999999,100,81
22522,923,759.59,124,100
22523,844,717.4,119,98
22524,592,721.0,66,55
22525,458,553.5,52,42
22526,112,1406.4,67,55
22529,816,329.76,62,52
22530,3514,1431.96,186,143
22531,3293,1348.5,166,127
22532,1063,360.06,68,54
22533,1745,607.62,79,68
22534,4331,1735.5,207,172
22535,1716,631.44,113,88
22536,4721,1782.18,148,109
22537,1818,763.5600000000001,138,115
22538,387,151.5,27,25
22539,2824,1050.41,90,74
22540,2451,915.78,65,50
22541,466,181.04,22,19
22543,1436,516.61,41,32
22544,4414,1628.3,128,101
22545,1089,391.10999999999996,48,40
22546,2065,767.8299999999999,60,50
22547,738,279.51,51,41
22548,1873,2097.96,184,149
22549,2992,4237.04,250,195
22550,1102,3810.71,176,136
22551,7664,12151.8,594,339
22553,4036,6505.799999999999,464,281
22554,7307,11637.429999999998,605,351
22555,5885,9462.289999999999,461,294
22556,5952,9596.96,531,305
22557,4573,7346.69,498,315
22558,8418,12545.38,648,363
22559,387,472.77,39,33
22560,8014,9311.47,337,229
22561,5695,9072.869999999999,408,288
22562,1398,1720.42,196,149
22563,2785,3254.6000000000004,262,171
22564,2673,3005.44,170,120
22565,818,712.4599999999999,110,85
22566,834,721.38,124,94
22567,2368,3048.2,192,135
22568,3284,11783.05,426,244
22569,2698,9655.48,301,192
22570,3018,10694.81,333,202
22571,2207,1813.55,185,152
22572,1265,1050.29,133,114
22573,2445,2040.81,156,127
22574,2124,1854.54,160,131
22575,622,1160.1,79,61
22576,1419,1218.6299999999999,130,102
22577,9784,3416.4799999999996,480,343
22578,9630,3165.22,453,332
22579,4808,1665.1599999999999,288,226
22580,836,4787.68,168,126
22581,1090,705.7199999999999,104,83
22582,1029,2496.7599999999998,79,73
22583,529,1348.9499999999998,79,73
22584,2241,5496.59,156,127
22585,6062,7149.7,340,241
22586,796,676.5999999999999,118,100
22587,845,718.25,124,103
22588,605,1732.4099999999999,137,110
22589,323,940.49,58,46
22591,374,1250.84,63,53
22592,506,1886.08,91,79
22593,2049,1736.9699999999998,142,106
22594,1744,1480.06,126,93
22595,6516,5278.86,370,274
22596,3290,3567.7,240,196
22597,2534,973.68,123,95
22598,815,291.33,54,42
22599,1489,528.2099999999999,71,58
22600,1540,1303.54,145,120
22601,2238,1827.4199999999998,154,121
22602,1962,1647.4199999999998,181,141
22603,1295,1089.83,131,111
22604,1173,2647.96,114,77
22605,709,9555.98,241,181
22606,305,4336.75,135,110
22607,1269,11601.14,307,224
22608,4933,984.73,85,63
22609,5636,1219.8799999999999,121,89
22610,9146,2320.58,173,123
22611,219,1016.85,41,36
22613,1488,1150.3799999999999,115,82
22614,2957,961.29,175,132
22615,2024,618.42,70,61
22616,25345,7266.71,397,195
22617,2153,10210.890000000001,427,296
22618,66,621.66,25,23
22619,2297,8597.5,346,250
22620,4491,5960.08,376,260
22621,5895,9297.869999999999,521,366
22622,1295,13035.66,231,174
22623,920,5031.570000000001,221,165
22624,1783,14788.33,635,376
22625,1476,11895.73,455,292
22626,504,4159.53,186,134
22627,792,6599.79,307,193
22628,775,3612.25,120,85
22629,13919,24694.59,720,322
22630,11336,20129.44,636,287
22631,3375,6122.629999999999,262,168
22632,4394,8751.12,372,260
22633,4746,9550.560000000001,470,300
22634,731,6681.849999999999,208,155
22635,657,6063.0,182,143
22636,565,4656.3,182,141
22637,2619,6308.57,266,188
22638,255,394.41999999999996,38,37
22639,763,1733.37,131,101
22640,186,344.21999999999997,42,33
22641,112,225.92,24,23
22642,253,516.8,45,39
22643,185,334.63,32,29
22644,2052,2328.7799999999997,190,146
22645,1757,2255.93,237,161
22646,3927,4756.91,284,185
22647,721,429.84999999999997,36,34
22649,751,3653.75,167,86
22650,800,1136.0,108,78
22651,1992,1602.7199999999998,94,73
22652,4864,7787.36,399,263
22653,1072,2022.66,122,73
22654,1058,5974.62,224,157
22655,60,8125.0,38,34
22656,26,3685.0,20,17
22659,11094,19353.219999999998,529,213
22660,327,2157.33,69,56
22661,5085,4028.19,349,172
22662,6545,10360.69,614,310
22663,3097,6008.41,318,171
22664,642,1178.18,102,62
22665,1219,3425.01,232,163
22666,7373,20859.27,843,471
22667,2870,7952.900000000001,454,233
22668,1965,5448.11,207,162
22669,1027,2969.65,167,143
22670,1754,2193.99,211,141
22671,919,1465.31,104,75
22672,1382,2227.62,160,125
22673,772,960.58,113,85
22674,1274,1536.71,148,106
22675,1176,1423.89,128,94
22676,1040,1303.64,140,61
22677,874,1092.51,113,59
22678,751,941.18,103,59
22679,647,810.57,92,54
22680,745,932.47,103,61
22681,627,785.57,83,45
22682,618,773.11,80,52
22683,575,720.57,80,54
22684,464,579.4,61,41
22685,543,678.15,70,49
22686,859,997.2,73,39
22687,568,2991.7,35,30
22688,700,3442.04,27,26
22689,614,4340.44,113,94
22690,1597,9635.89,264,198
22691,344,2268.64,96,65
22692,1378,9468.08,340,231
22693,15940,17226.2,239,167
22694,1612,3337.2000000000003,312,228
22695,695,850.87,98,82
22696,694,1307.36,130,108
22697,6430,17806.34,719,387
22698,5343,14769.49,584,319
22699,9132,24865.600000000002,801,423
22700,1194,2584.68,49,41
22701,436,613.24,53,39
22702,1357,2661.8999999999996,43,35
22703,168,249.42000000000002,40,30
22704,5275,2167.5,174,129
22705,1900,798.0,75,61
22706,2050,845.0,69,64
22707,1250,525.0,47,41
22708,2775,1149.5,99,79
22709,1325,528.5,39,38
22710,4425,1742.5,100,79
22711,2852,1181.84,101,89
22712,4319,1721.37,216,141
22713,3309,1312.12,155,109
22714,3367,1324.8899999999999,155,125
22715,1506,615.24,98,78
22716,3088,1272.27,215,167
22717,1170,487.08,87,69
22718,1560,646.56,106,70
22719,463,508.07000000000005,34,25
22720,7020,33347.8,1159,640
22721,910,3949.7200000000003,249,183
22722,5372,20530.0,674,393
22723,1059,3705.8900000000003,243,170
22725,1776,6574.26,328,171
22726,5641,20880.4,808,322
22727,7221,25925.2,899,388
22728,5074,18569.09,621,291
22729,2182,7995.63,367,179
22730,2728,10285.61,477,241
22731,1075,1361.95,106,85
22732,1522,1930.38,127,102
22733,1471,1882.31,144,119
22734,2843,8051.83,343,278
22735,673,1106.13,89,73
22736,1102,1825.46,155,130
22737,1227,2075.39,190,148
22738,2007,3219.43,181,147
22739,1588,2704.44,212,168
22740,6625,5475.25,107,89
22741,8328,7010.94,155,107
22742,628,1245.88,91,77
22743,867,2030.6100000000001,152,115
22744,833,1898.8300000000002,150,123
22745,1788,3689.9500000000003,326,216
22746,1319,2733.02,257,179
22747,879,1800.9,174,123
22748,1895,3933.7100000000005,357,233
22749,2223,8071.51,421,275
22750,1964,7166.94,391,247
22751,1514,5446.1,255,184
22752,1654,12665.29,301,188
22753,918,614.63,168,98
22754,1802,1106.4399999999998,196,120
22755,1577,1012.78,198,110
22756,554,546.88,93,68
22757,1009,950.46,114,81
22758,1122,942.02,130,85
22759,5207,8283.75,336,253
22760,259,3089.85,66,50
22761,34,821.3,24,21
22762,145,2070.95,87,74
22763,191,1865.6499999999999,94,76
22764,3,74.85,2,2
22765,25,257.37,3,3
22766,3206,9365.78,466,278
22767,761,6932.83,208,152
22768,837,7646.839999999999,235,184
22769,6,137.7,3,3
22770,83,1223.25,55,44
22771,5753,6923.17,334,168
22772,3345,3926.72,177,84
22773,1852,2242.52,150,82
22774,2007,2322.27,100,56
22775,2614,3169.87,161,79
22776,1116,10570.6,451,327
22777,331,2598.4500000000003,42,37
22778,757,2743.75,112,80
22779,1535,5781.35,152,88
22780,1340,5018.84,132,82
22781,533,3916.79,161,118
22782,241,3399.95,74,65
22783,462,5922.12,32,29
22784,1214,5721.42,269,192
22785,212,797.44,54,48
22786,108,576.64,37,31
22788,205,1734.05,46,33
22789,838,1605.84,131,101
22791,7336,8378.890000000001,266,184
22792,2313,1888.31,130,100
22794,300,2373.0,157,114
22795,1099,7084.650000000001,291,170
22796,554,5377.45,215,146
22797,146,2459.04,79,63
22798,1643,4687.01,189,126
22799,198,1497.8,80,70
22800,765,2817.13,139,109
22801,890,3223.35,165,123
22802,66,1055.7,35,30
22803,46,1715.9,25,18
22804,2869,7247.910000000001,421,252
22805,1574,1924.18,125,77
22806,243,595.6500000000001,28,28
22807,676,1796.64,111,74
22808,320,899.8000000000002,54,51
22809,1198,3517.6600000000003,179,141
22810,908,2792.0800000000004,141,106
22811,775,1987.9299999999998,56,37
22812,1571,2964.7699999999995,127,98
22813,2265,4203.33,154,116
22814,1581,633.78,96,75
22815,1810,747.24,114,79
22816,3438,1420.2,180,158
22817,1858,763.08,126,79
22818,3162,1319.4,164,151
22819,1848,758.88,126,94
22820,761,494.83000000000004,46,42
22821,834,542.46,67,52
22822,417,2402.6600000000003,145,121
22823,24,2745.0,13,13
22824,55,1938.2500000000002,43,42
22825,70,544.5,25,23
22826,58,6210.0,41,33
22827,35,5415.0,26,21
22828,10,1530.0,7,7
22829,215,2066.75,99,80
22830,131,2610.29,6,5
22831,684,1960.2000000000003,106,91
22832,155,1645.45,69,64
22833,75,2503.5299999999997,4,4
22834,4633,6149.33,299,199
22835,2972,13847.28,518,316
22837,992,4479.2,136,108
22838,652,8737.78,136,115
22839,364,4954.5599999999995,139,107
22840,891,6600.7300000000005,253,193
22841,516,3895.48,200,156
22842,572,3609.8,146,120
22843,434,2691.88,115,92
22844,826,6779.35,296,176
22845,704,4208.09,237,155
22846,626,9597.31,249,158
22847,851,13191.689999999999,342,214
22848,302,4598.349999999999,112,68
22849,308,4706.36,121,79
22851,2609,2148.23,297,198
22852,354,1507.92,108,83
22853,431,1396.95,101,76
22854,750,3547.3,149,123
22855,2508,2984.52,180,152
22856,564,650.28,22,21
22857,1156,945.16,61,56
22858,1081,1718.85,113,103
22859,1150,1832.6999999999998,130,111
22860,567,935.55,87,82
22861,292,481.79999999999995,38,36
22862,143,607.75,46,42
22863,693,1948.3500000000001,95,77
22865,8115,16237.630000000001,594,375
22866,6118,12248.760000000002,502,329
22867,6001,12081.430000000002,488,333
22868,54,105.3,11,10
22869,69,134.54999999999998,19,18
22870,67,130.65,17,14
22871,52,101.39999999999999,10,10
22872,55,107.25,13,13
22873,47,91.64999999999999,13,12
22874,54,105.3,12,10
22875,51,99.45,14,14
22876,52,101.39999999999999,11,11
22877,56,109.2,13,12
22878,52,109.2,11,10
22879,62,69.34,8,6
22880,72,88.84,12,8
22881,79,102.49,13,9
22882,83,110.28999999999999,20,13
22883,78,100.53999999999999,11,9
22884,75,94.69,16,12
22885,79,102.49,12,10
22886,74,92.74,13,8
22887,66,77.14,11,8
22888,63,71.28999999999999,8,7
22889,147,164.58,9,6
22890,366,3505.12,149,94
22891,345,1519.01,108,69
22892,2461,3007.85,197,117
22893,1464,591.84,66,45
22894,291,2821.95,110,82
22895,1980,5855.24,245,163
22896,1498,3566.77,226,144
22897,1298,1850.66,174,135
22898,2201,4120.85,284,201
22899,1982,3986.88,262,190
22900,4580,13068.2,388,194
22902,1212,2306.58,96,71
22903,153,427.43,32,21
22904,1768,5072.64,241,162
22905,478,1225.49,69,50
22906,1628,2590.2,200,150
22907,6102,4966.32,565,357
22908,4234,3330.64,324,212
22909,8122,6530.259999999999,511,368
22910,9433,25669.27,713,470
22911,438,1246.94,82,68
22912,270,1222.74,91,74
22913,327,1479.69,95,78
22914,428,1979.64,136,106
22915,2928,1104.36,134,110
22916,1819,1170.3500000000001,194,130
22917,1858,1195.7,198,132
22918,1776,1122.4,195,130
22919,1669,1072.8500000000001,198,132
22920,3329,2000.3500000000001,194,133
22921,1648,1059.2,172,116
22922,1482,1226.3999999999999,88,73
22923,1281,1042.05,76,64
22924,1188,978.5999999999999,76,63
22925,427,2517.67,164,125
22926,569,3313.55,186,140
22927,395,2278.25,129,94
22928,251,1535.5700000000002,88,62
22929,19,1199.75,13,13
22930,1041,2515.67,147,120
22931,794,1878.61,113,95
22932,872,1950.9,64,51
22933,876,2272.2000000000003,92,82
22934,560,1527.2,69,65
22935,673,1964.25,52,46
22936,258,766.88,35,30
22937,941,2425.19,141,122
22938,2321,4355.33,172,160
22939,448,2188.48,104,77
22940,1896,7722.68,315,240
22941,1572,12150.0,255,205
22942,581,4108.75,132,111
22943,1280,5968.9800000000005,161,128
22944,2704,1125.94,60,50
22945,2863,2401.0299999999997,140,118
22946,370,5340.0,91,64
22947,536,5047.6,104,81
22948,1456,1286.56,106,69
22949,947,1373.1499999999999,87,81
22950,5180,7045.4,167,156
22951,7247,3755.4100000000003,369,237
22952,14759,7431.05,496,343
22953,460,578.63,83,61
22954,165,206.25,29,20
22955,1005,1929.14,111,91
22956,2003,3823.5600000000004,178,144
22957,1749,4881.150000000001,201,179
22959,4876,2003.92,140,133
22960,8151,32662.97,887,573
22961,15055,21170.75,875,537
22962,3681,2952.5699999999997,247,180
22963,3071,2452.0099999999998,211,165
22964,2514,5034.64,302,216
22965,1318,2726.42,209,171
22966,7204,8625.130000000001,572,388
22967,1161,3230.55,132,122
22968,729,6574.95,145,118
22969,12092,17521.6,519,429
22970,4246,9666.3,284,180
22971,2365,5603.57,235,164
22972,1715,2790.7099999999996,184,139
22973,1192,1924.4799999999998,112,81
22974,1523,2457.99,162,126
22975,1118,1405.97,144,110
22976,1047,1313.59,116,77
22977,905,1132.46,113,98
22978,2407,9184.279999999999,198,153
22979,3920,5795.86,313,225
22980,2289,3661.8899999999994,247,198
22981,436,603.4,76,58
22982,1045,1308.3,147,120
22983,5038,2072.79,333,223
22984,2678,1073.74,142,91
22985,3750,1487.0,96,77
22986,4101,1710.42,154,124
22987,100,42.0,4,4
22988,8821,10150.220000000001,338,197
22989,2697,8323.17,318,241
22990,607,2695.29,144,117
22991,3710,6820.74,241,185
22992,4917,8950.289999999999,296,217
22993,11792,14180.17,893,431
22994,2107,883.5,163,89
22995,2236,936.24,187,90
22996,4552,1880.16,301,155
22997,2527,1059.9,186,101
22998,11769,4693.4,448,217
22999,2875,1206.06,193,108
23000,3044,1275.6,208,125
23002,2078,871.32,145,85
23003,541,225.78,53,38
23004,1862,783.68,129,73
23005,4396,1788.72,182,105
23006,1699,712.14,131,88
23007,450,7065.499999999999,143,110
23008,421,6567.95,122,99
23009,209,3262.5499999999997,61,48
23010,285,4444.75,89,73
23012,1017,3775.4900000000002,203,151
23013,866,3215.0400000000004,182,135
23014,800,2959.6800000000003,164,122
23015,37,305.25,17,15
23016,69,512.85,19,19
23017,64,751.4000000000001,21,20
23018,50,587.2,20,19
23019,81,629.0500000000001,28,26
23020,176,2092.0,72,67
23021,118,480.1,26,24
23022,416,795.6800000000001,23,19
23023,272,431.23999999999995,25,23
23024,254,662.0600000000001,10,8
23025,317,669.61,46,40
23026,504,1019.0500000000001,56,43
